entity1,relation,entity2
atlanta noun,instance hypernym,state capital noun
abelmoschus noun,hypernym,dilleniid dicot genus noun
ground beetle noun,hypernym,beetle noun
blooming noun,derivationally related form,bloom verb
stylish adjective,derivationally related form,chic noun
squid noun,has part,squid noun
genus litchi noun,hypernym,dicot genus noun
babble verb,derivationally related form,babble noun
myocastor noun,member meronym,coypu noun
defense noun,derivationally related form,defend verb
venture verb,derivationally related form,stake noun
disk space noun,synset domain topic of,computer science noun
holdout noun,derivationally related form,resist verb
motorist noun,hypernym,driver noun
national park noun,hypernym,park noun
tepidness noun,hypernym,coldness noun
waste noun,derivationally related form,waste verb
zest verb,derivationally related form,nip noun
depicting noun,hypernym,representational process noun
proof noun,synset domain topic of,mathematics noun
softness noun,hypernym,consistency noun
light verb,derivationally related form,illumination noun
physiologist noun,derivationally related form,physiology noun
end verb,derivationally related form,stopping point noun
bosom noun,hypernym,privacy noun
invitation noun,derivationally related form,invite verb
yukon noun,has part,klondike noun
correlate verb,verb group,correlate verb
partiality noun,derivationally related form,enthusiast noun
walk verb,verb group,walk verb
tie up verb,derivationally related form,stand noun
noble metal noun,hypernym,metallic element noun
muscular structure noun,hypernym,system noun
colombia noun,instance hypernym,south american country noun
alarm noun,derivationally related form,alarm verb
tarmacadam noun,hypernym,paving noun
benediction noun,hypernym,prayer noun
atmosphere noun,derivationally related form,atmospheric adjective
ciudad juarez noun,instance hypernym,city noun
sales talk noun,hypernym,promotion noun
productiveness noun,derivationally related form,productive adjective
jet noun,has part,jet engine noun
cuddle verb,hypernym,embrace verb
table noun,derivationally related form,table verb
motor vehicle noun,has part,cooling system noun
gate verb,derivationally related form,gate noun
corps noun,hypernym,army unit noun
cryptomeria noun,hypernym,gymnosperm genus noun
abscond verb,hypernym,flee verb
have verb,verb group,have verb
slick verb,hypernym,comb verb
cleanse verb,hypernym,groom verb
oxyuridae noun,member meronym,enterobius noun
flattery noun,hypernym,compliment noun
dehydration noun,hypernym,dryness noun
clean verb,derivationally related form,cleaning noun
gramineae noun,member meronym,phleum noun
hutment noun,hypernym,camp noun
opera noun,has part,act noun
hand noun,hypernym,aid noun
poison noun,hypernym,substance noun
joy noun,derivationally related form,please verb
academician noun,derivationally related form,academy noun
rest noun,derivationally related form,relax verb
academy noun,derivationally related form,academic adjective
marx noun,instance hypernym,economist noun
manilkara noun,hypernym,dicot genus noun
framework noun,has part,backing noun
resinate verb,hypernym,season verb
puddle verb,hypernym,shape verb
endorse verb,derivationally related form,endorser noun
clinic noun,hypernym,medical building noun
halter noun,derivationally related form,poise verb
substitution noun,derivationally related form,commute verb
teem verb,derivationally related form,drove noun
say noun,derivationally related form,state verb
cover verb,hypernym,guarantee verb
palaemonidae noun,hypernym,arthropod family noun
line of battle noun,synset domain topic of,military noun
pull noun,derivationally related form,attract verb
prickly poppy noun,hypernym,herb noun
repulsive adjective,synset domain topic of,physics noun
articulatory adjective,derivationally related form,articulate verb
hyla noun,member meronym,spring peeper noun
replay verb,derivationally related form,replay noun
semen noun,hypernym,liquid body substance noun
piano noun,has part,piano keyboard noun
put verb,also see,can verb
trot verb,hypernym,run verb
mismanagement noun,derivationally related form,mismanage verb
jeu d'esprit noun,hypernym,wit noun
shivaism noun,hypernym,sect noun
vote verb,derivationally related form,vote noun
lodge verb,derivationally related form,lodgment noun
add verb,derivationally related form,adder noun
sweep verb,derivationally related form,broom noun
temperance noun,derivationally related form,moderationist noun
rust noun,hypernym,ferric oxide noun
crime noun,derivationally related form,incriminate verb
vespertilionidae noun,member meronym,pipistrellus noun
terrorist organization noun,hypernym,political movement noun
handset noun,hypernym,telephone noun
interrogate verb,derivationally related form,question noun
background verb,derivationally related form,background noun
taste noun,derivationally related form,gustatory adjective
withholder noun,derivationally related form,withhold verb
bottle-nosed whale noun,hypernym,beaked whale noun
sacking noun,derivationally related form,bag verb
ethnic group noun,hypernym,group noun
fencing sword noun,hypernym,sword noun
positive adjective,also see,affirmative adjective
ascension noun,hypernym,change of location noun
partner verb,hypernym,act verb
craft noun,hypernym,class noun
faucet noun,has part,handle noun
psychophysicist noun,hypernym,psychologist noun
fuss noun,derivationally related form,trouble verb
mammea noun,hypernym,dilleniid dicot genus noun
obscenity noun,member of domain usage,asshole noun
mistreat verb,hypernym,treat verb
spoilage noun,hypernym,decay noun
examination noun,derivationally related form,scrutineer noun
polynomial noun,hypernym,function noun
whirler noun,derivationally related form,spin verb
consideration noun,derivationally related form,think verb
lymphatic system noun,has part,spleen noun
xyridales noun,hypernym,plant order noun
feed verb,hypernym,provide verb
anagallis noun,hypernym,dicot genus noun
pipturus noun,hypernym,dicot genus noun
abu hafs al-masri brigades noun,synset domain topic of,terrorism noun
st. petersburg noun,instance hypernym,city noun
lift noun,hypernym,device noun
pyxidanthera noun,member meronym,pyxie noun
amicable adjective,also see,friendly adjective
ardeidae noun,member meronym,casmerodius noun
farrow verb,derivationally related form,hog noun
bivalvia noun,hypernym,class noun
plaintiff noun,synset domain topic of,law noun
spin verb,derivationally related form,whirler noun
file in verb,hypernym,enter verb
chad noun,has part,n'djamena noun
arranger noun,hypernym,musician noun
descendant noun,derivationally related form,derive verb
communist noun,derivationally related form,communism noun
admirer noun,hypernym,lover noun
charophyceae noun,member meronym,desmidiaceae noun
drug addiction noun,hypernym,addiction noun
patronize verb,derivationally related form,patron noun
decelerate verb,derivationally related form,slowdown noun
color blindness noun,hypernym,visual impairment noun
diplopterygium noun,hypernym,fern genus noun
passionate adjective,also see,emotional adjective
obstacle noun,hypernym,obstruction noun
mythologize verb,hypernym,fabricate verb
chieftaincy noun,hypernym,position noun
vertebrata noun,member meronym,reptile family noun
approach verb,hypernym,come verb
lyon noun,instance hypernym,city noun
improvisation noun,hypernym,expedient noun
fund verb,hypernym,roll up verb
meet verb,hypernym,match verb
copulate verb,hypernym,join verb
parana noun,instance hypernym,river noun
proofread verb,hypernym,see verb
campaigning noun,has part,whistle-stop tour noun
communize verb,derivationally related form,commune noun
quantifiability noun,derivationally related form,measurable adjective
inquiry noun,hypernym,investigation noun
benzodiazepine noun,hypernym,muscle relaxant noun
operation noun,derivationally related form,manoeuver verb
possession noun,hypernym,control noun
equip verb,derivationally related form,outfitter noun
fir noun,hypernym,conifer noun
prognosis noun,derivationally related form,bode verb
load verb,derivationally related form,cargo noun
crammer noun,hypernym,student noun
redact noun,derivationally related form,revise verb
san antonio noun,instance hypernym,city noun
organism noun,has part,body part noun
genus davallia noun,hypernym,fern genus noun
bathe verb,derivationally related form,washup noun
enter verb,derivationally related form,participant noun
resident noun,derivationally related form,reside verb
combat zone noun,hypernym,zone noun
inability noun,hypernym,quality noun
jabalpur noun,instance hypernym,city noun
labiatae noun,member meronym,lepechinia noun
fighter noun,synset domain topic of,military noun
netherlands noun,has part,ijssel noun
read-only memory noun,synset domain topic of,computer science noun
corner verb,hypernym,steer verb
anchovy pear noun,hypernym,fruit tree noun
bovidae noun,member meronym,bibos noun
flit verb,derivationally related form,waver noun
world war i noun,has part,somme noun
chilly satellite adjective,similar to,cold adjective
ring verb,derivationally related form,ring noun
cathexis noun,hypernym,libidinal energy noun
solarize verb,synset domain topic of,photography noun
giant noun,hypernym,animal noun
fiji islands noun,instance hypernym,island noun
jet engine noun,has part,rotor noun
netherlands noun,derivationally related form,netherlander noun
huddler noun,derivationally related form,huddle verb
macrorhamphosidae noun,member meronym,snipefish noun
dedication noun,hypernym,message noun
greens noun,hypernym,vegetable noun
stoop noun,hypernym,inclination noun
twist noun,derivationally related form,wrench verb
remark noun,derivationally related form,note verb
harasser noun,derivationally related form,harass verb
stipulate verb,synset domain topic of,roman law noun
drop noun,derivationally related form,fall verb
encainide noun,hypernym,antiarrhythmic noun
transplant verb,hypernym,be verb
flexion noun,derivationally related form,flex verb
tamus noun,hypernym,plant genus noun
nucleoside reverse transcriptase inhibitor noun,hypernym,reverse transcriptase inhibitor noun
subscribe verb,hypernym,buy verb
compositae noun,member meronym,santolina noun
constitution noun,derivationally related form,form verb
fungus family noun,hypernym,family noun
car noun,has part,car door noun
saccharum noun,member meronym,sugarcane noun
garden spider noun,hypernym,spider noun
drive noun,derivationally related form,lunge verb
cardiovascular disease noun,hypernym,disorder noun
somali peninsula noun,has part,somalia noun
curtain noun,derivationally related form,pall verb
bryozoa noun,hypernym,phylum noun
number verb,derivationally related form,number noun
strophariaceae noun,member meronym,stropharia noun
awake adjective,also see,aware adjective
optical fiber noun,hypernym,fiber noun
breastfeed verb,hypernym,feed verb
eating noun,derivationally related form,eat verb
curacy noun,hypernym,position noun
maul verb,hypernym,cleave verb
elaborate verb,derivationally related form,exponent noun
sunstroke noun,hypernym,heatstroke noun
choose verb,derivationally related form,picker noun
cut noun,hypernym,wound noun
grouch verb,derivationally related form,grumble noun
whitsun noun,hypernym,season noun
plural noun,member of domain usage,bloomers noun
mythology noun,synset domain topic of,mythology noun
lake poets noun,hypernym,artistic movement noun
orderliness noun,hypernym,regularity noun
manduca quinquemaculata noun,hypernym,hawkmoth noun
address noun,hypernym,direction noun
myricales noun,hypernym,plant order noun
ambush verb,derivationally related form,lurker noun
leeward islands noun,has part,antigua and barbuda noun
calcium hydroxide noun,derivationally related form,lime verb
hawaiian islands noun,has part,hawaii noun
minute noun,hypernym,time unit noun
scombridae noun,member meronym,scomber noun
commute verb,derivationally related form,commutation noun
bangladesh noun,member meronym,bengali noun
water ouzel noun,hypernym,oscine noun
pay verb,derivationally related form,payee noun
unevenness noun,derivationally related form,uneven adjective
insertion noun,hypernym,movement noun
administration noun,has part,hierarchy noun
erosion noun,derivationally related form,erode verb
salmonidae noun,member meronym,salmonid noun
vault verb,derivationally related form,vault noun
dragonfly noun,hypernym,odonate noun
prosopis noun,hypernym,rosid dicot genus noun
copepoda noun,member meronym,copepod noun
epigram noun,hypernym,saying noun
air verb,derivationally related form,broadcaster noun
angiogenesis noun,hypernym,growth noun
sphagnales noun,hypernym,plant order noun
hawk verb,hypernym,hunt verb
celebration noun,derivationally related form,solemnize verb
seed noun,has part,pericarp noun
visual image noun,derivationally related form,visualize verb
mariner noun,hypernym,sailor noun
excuse noun,derivationally related form,excuse verb
quarterback noun,hypernym,back noun
bar noun,hypernym,counter noun
acquit verb,derivationally related form,exculpatory adjective
argentina noun,has part,pampas noun
woo verb,derivationally related form,courtship noun
dropseed noun,hypernym,grass noun
angola noun,has part,lobito noun
incitement noun,derivationally related form,provoke verb
glitter verb,hypernym,look verb
pteridaceae noun,member meronym,pteris noun
realism noun,derivationally related form,realist noun
decision noun,synset domain topic of,boxing noun
desire verb,derivationally related form,wanter noun
factorization noun,derivationally related form,factorize verb
gestational adjective,derivationally related form,gestation noun
desiccant noun,derivationally related form,dry verb
exercise noun,derivationally related form,exercise verb
mercuric adjective,derivationally related form,mercury noun
stay noun,derivationally related form,stay verb
dissemble verb,verb group,act verb
prohibition noun,derivationally related form,forbid verb
phyllostomidae noun,member meronym,choeronycteris noun
drive noun,derivationally related form,drive verb
stellaria noun,member meronym,chickweed noun
wedge noun,hypernym,inclined plane noun
underscore verb,derivationally related form,emphasizing noun
lateran council noun,hypernym,council noun
chafe verb,hypernym,irritate verb
brain damage noun,hypernym,nervous disorder noun
worshiper noun,hypernym,admirer noun
unbroken adjective,also see,sound adjective
rug noun,hypernym,furnishing noun
sibilate verb,derivationally related form,sibilation noun
athanasius noun,instance hypernym,saint noun
germany noun,has part,halle noun
dibranchiata noun,member meronym,octopoda noun
nail noun,has part,shank noun
pieris noun,member meronym,andromeda noun
psittacus noun,hypernym,bird genus noun
oxford noun,instance hypernym,city noun
nestle verb,hypernym,put verb
dart verb,derivationally related form,flit noun
drop noun,derivationally related form,droplet noun
iron noun,hypernym,metallic element noun
society noun,member meronym,four hundred noun
stagnate verb,derivationally related form,stagnation noun
tire verb,derivationally related form,wear noun
charge verb,derivationally related form,charge noun
mark noun,derivationally related form,rate verb
restrictive adjective,derivationally related form,restrict verb
limnobium noun,member meronym,american frogbit noun
extrude verb,hypernym,produce verb
tenderizer noun,derivationally related form,tender verb
diner noun,derivationally related form,dine verb
reproduction noun,derivationally related form,reproduce verb
stock verb,derivationally related form,stockist noun
severance noun,derivationally related form,discerp verb
discipline noun,hypernym,knowledge domain noun
slack noun,hypernym,debris noun
rubiaceae noun,member meronym,calycophyllum noun
laundry noun,hypernym,white goods noun
pyramid noun,instance hypernym,memorial noun
guano noun,hypernym,body waste noun
rampage noun,hypernym,disturbance noun
languisher noun,hypernym,unfortunate noun
piperales noun,member meronym,piperaceae noun
pusan noun,instance hypernym,city noun
parental quality noun,hypernym,quality noun
ecuador noun,has part,andes noun
offensiveness noun,derivationally related form,unsavory adjective
swashbuckling noun,hypernym,demeanor noun
savory noun,hypernym,dainty noun
houseclean verb,derivationally related form,cleaner noun
simple adjective,also see,easy adjective
sailing noun,derivationally related form,sail verb
umbelliferae noun,member meronym,cuminum noun
retread verb,derivationally related form,retread noun
carphophis noun,hypernym,reptile genus noun
life style noun,hypernym,manner noun
saturniidae noun,member meronym,atticus noun
idealize verb,derivationally related form,idealization noun
pinguicula noun,hypernym,plant genus noun
triga noun,hypernym,fish genus noun
hylidae noun,member meronym,hyla noun
social control noun,hypernym,group action noun
administer verb,derivationally related form,dispensation noun
perturb verb,hypernym,disturb verb
get verb,derivationally related form,apprehension noun
detect verb,derivationally related form,detector noun
carthamus noun,member meronym,safflower noun
fast verb,hypernym,abstain verb
exercise noun,derivationally related form,drill verb
bombard verb,hypernym,attack verb
tourist noun,derivationally related form,tour noun
glucosamine noun,hypernym,amino noun
pin noun,has part,head noun
panic noun,derivationally related form,terrorize verb
introvert verb,derivationally related form,introvert noun
snake noun,instance hypernym,river noun
fall off verb,derivationally related form,slump noun
attacker noun,derivationally related form,attack verb
gramineae noun,member meronym,leymus noun
fret noun,hypernym,agitation noun
prednisone noun,hypernym,anti-inflammatory noun
kindness noun,hypernym,good noun
tag verb,hypernym,attach verb
frighten verb,hypernym,stimulate verb
reserve verb,derivationally related form,booking noun
ascomycota noun,member meronym,ascomycetes noun
pipilo noun,hypernym,bird genus noun
starches noun,hypernym,foodstuff noun
trim noun,hypernym,cut noun
hawaiian islands noun,instance hypernym,archipelago noun
presidency noun,hypernym,tenure noun
typeset verb,hypernym,print verb
memory noun,derivationally related form,retentive adjective
skin noun,has part,wrinkle noun
delusion noun,derivationally related form,deceive verb
visual cell noun,hypernym,somatic cell noun
stratification noun,derivationally related form,stratify verb
add verb,also see,total verb
rejoicing noun,hypernym,happiness noun
absorbency noun,derivationally related form,absorbent adjective
tympanist noun,derivationally related form,drum noun
atrocity noun,hypernym,inhumaneness noun
viral infection noun,hypernym,infection noun
philosophy noun,hypernym,humanistic discipline noun
campaign verb,derivationally related form,political campaign noun
roast verb,hypernym,cook verb
heteroptera noun,member meronym,pyrrhocoridae noun
general adjective,synset domain topic of,medicine noun
insert verb,derivationally related form,insertion noun
filming noun,derivationally related form,cameraman noun
guesstimate verb,derivationally related form,guesstimate noun
freshwater bream noun,hypernym,sunfish noun
partaker noun,hypernym,participant noun
metonymy noun,hypernym,trope noun
encroach verb,derivationally related form,invasion noun
enter verb,derivationally related form,participation noun
echo noun,derivationally related form,echo verb
tippler noun,derivationally related form,tipple verb
want verb,derivationally related form,need noun
offer noun,derivationally related form,offer verb
reinforce verb,derivationally related form,reward noun
irredentism noun,hypernym,doctrine noun
catabolic adjective,derivationally related form,catabolism noun
smallholder noun,hypernym,farmer noun
tan verb,hypernym,discolor verb
pinch verb,derivationally related form,pinch noun
perciformes noun,member meronym,carangidae noun
united states marshals service noun,hypernym,law enforcement agency noun
marlowe noun,instance hypernym,fictional character noun
organization of american states noun,member meronym,colombia noun
intelligence noun,hypernym,ability noun
digitizer noun,derivationally related form,digitize verb
inflammation noun,hypernym,arousal noun
eatage noun,derivationally related form,crop verb
plankton noun,hypernym,organism noun
thrifty adjective,also see,provident adjective
frontal satellite adjective,derivationally related form,front noun
chelonia noun,member meronym,trionychidae noun
dawn noun,hypernym,time period noun
neural structure noun,hypernym,structure noun
gravitational adjective,derivationally related form,gravitation noun
pinch verb,derivationally related form,squeeze noun
united kingdom noun,member of domain region,guy noun
adiposity noun,hypernym,fatness noun
paragon noun,derivationally related form,perfectionist noun
reciprocate verb,hypernym,act verb
ruff noun,synset domain topic of,card game noun
semiconductor device noun,hypernym,conductor noun
point verb,derivationally related form,point noun
base on balls noun,derivationally related form,walk verb
cream noun,hypernym,dairy product noun
checkup noun,hypernym,examination noun
addiction noun,derivationally related form,addict verb
dance verb,derivationally related form,dancer noun
find verb,verb group,recover verb
house noun,has part,porch noun
tunnel noun,has part,shaft noun
sculptor noun,hypernym,artist noun
determine verb,verb group,determine verb
sucking noun,derivationally related form,breastfeed verb
education noun,synset domain topic of,education noun
lookdown noun,hypernym,moonfish noun
symphyla noun,member meronym,scutigerella noun
dresser noun,derivationally related form,dress verb
marshal noun,hypernym,lawman noun
sign verb,hypernym,contract verb
spergula noun,hypernym,caryophylloid dicot genus noun
lateness noun,derivationally related form,late adjective
tutsi noun,hypernym,bantu noun
bairdiella noun,hypernym,fish genus noun
append verb,derivationally related form,attachment noun
feed verb,derivationally related form,giving noun
jump noun,hypernym,propulsion noun
pueraria noun,hypernym,rosid dicot genus noun
hemophilia noun,hypernym,sex-linked disorder noun
pulmonary anthrax noun,hypernym,anthrax noun
trapaceae noun,hypernym,dicot family noun
penitent noun,derivationally related form,penitent adjective
monogamy noun,hypernym,marriage noun
lavender noun,hypernym,shrub noun
amoxicillin noun,hypernym,penicillin noun
percolate verb,derivationally related form,permeation noun
alopiidae noun,hypernym,fish family noun
harangue verb,hypernym,address verb
vector noun,hypernym,agent noun
contortion noun,derivationally related form,contortionist noun
groove verb,derivationally related form,groove noun
malted noun,hypernym,milkshake noun
mosan noun,hypernym,amerind noun
clue verb,hypernym,wind verb
punt verb,derivationally related form,pole noun
mentha noun,member meronym,mint noun
petaurista noun,member meronym,taguan noun
scent noun,derivationally related form,odorize verb
architecture noun,hypernym,profession noun
reject verb,verb group,reject verb
brazil noun,has part,belo horizonte noun
adsorb verb,hypernym,sorb verb
electrify verb,hypernym,adapt verb
complaisance noun,derivationally related form,comply verb
california noun,has part,big sur noun
femaleness noun,derivationally related form,womanly adjective
coarseness noun,hypernym,inelegance noun
fertilization noun,derivationally related form,impregnate verb
lauder noun,instance hypernym,singer noun
dye noun,derivationally related form,dye verb
charm verb,hypernym,persuade verb
medicine noun,derivationally related form,aesculapian adjective
asserter noun,derivationally related form,affirm verb
humidify verb,derivationally related form,moisture noun
film editing noun,hypernym,creating by removal noun
facial adjective,derivationally related form,face noun
flood verb,also see,overwhelm verb
diuretic drug noun,hypernym,drug noun
jaboticaba noun,hypernym,fruit tree noun
hypnotist noun,derivationally related form,hypnotize verb
buyout noun,derivationally related form,take over verb
manner noun,hypernym,demeanor noun
sourness noun,derivationally related form,sour adjective
arum noun,hypernym,herb noun
insecta noun,member meronym,hemiptera noun
brooding noun,hypernym,parturition noun
concoct verb,derivationally related form,concoction noun
orectolobidae noun,member meronym,ginglymostoma noun
lady palm noun,hypernym,palm noun
pandion noun,member meronym,osprey noun
inductance unit noun,hypernym,electromagnetic unit noun
melted adjective,derivationally related form,liquid noun
immutability noun,derivationally related form,immutable adjective
flower girl noun,hypernym,assistant noun
naive adjective,derivationally related form,naivete noun
heliosphere noun,has part,solar system noun
miscible adjective,derivationally related form,mix verb
playground noun,has part,seesaw noun
fudge verb,also see,fabricate verb
watch verb,derivationally related form,observation noun
lecture noun,hypernym,teaching noun
blastula noun,has part,trophoblast noun
naval surface warfare center noun,hypernym,agency noun
united states government noun,member meronym,executive branch noun
impertinence noun,hypernym,playfulness noun
sputter verb,hypernym,utter verb
desorb verb,hypernym,remove verb
nitrosomonas noun,member meronym,nitrosobacteria noun
appreciator noun,derivationally related form,appreciate verb
press verb,hypernym,push verb
sit out verb,hypernym,digest verb
pieris noun,hypernym,arthropod genus noun
rampart noun,derivationally related form,bulwark verb
transfer noun,derivationally related form,transmit verb
marjoram noun,hypernym,herb noun
health noun,derivationally related form,healthy adjective
wish verb,derivationally related form,wish noun
ester noun,hypernym,organic compound noun
ochna noun,hypernym,dilleniid dicot genus noun
flood noun,derivationally related form,deluge verb
mention noun,hypernym,award noun
pycnanthemum noun,hypernym,asterid dicot genus noun
debarment noun,hypernym,prevention noun
suicide noun,derivationally related form,self-destruct verb
haemulidae noun,member meronym,grunt noun
malus noun,member meronym,apple noun
north dravidian noun,hypernym,dravidian noun
pruner noun,derivationally related form,snip verb
cenogenetic adjective,derivationally related form,cenogenesis noun
upholder noun,derivationally related form,continue verb
vehicle noun,has part,splashboard noun
preoccupation noun,hypernym,idea noun
withdrawal noun,derivationally related form,seclude verb
oran noun,instance hypernym,port noun
seesaw verb,hypernym,move verb
belting noun,hypernym,fabric noun
wireman noun,derivationally related form,wire verb
xenarthra noun,member meronym,dasypodidae noun
foundation garment noun,hypernym,undergarment noun
billow verb,derivationally related form,heave noun
trail verb,hypernym,travel verb
fluid mechanics noun,hypernym,mechanics noun
cycadaceae noun,hypernym,gymnosperm family noun
cover verb,verb group,cover verb
populate verb,derivationally related form,population noun
united kingdom noun,member of domain usage,exile noun
acre-foot noun,hypernym,volume unit noun
archaize verb,hypernym,change verb
bite noun,derivationally related form,nosh verb
eat up verb,hypernym,eat verb
ericaceae noun,member meronym,arctostaphylos noun
braid verb,derivationally related form,braid noun
twist verb,derivationally related form,wrench noun
puzzle verb,hypernym,chew over verb
male aristocrat noun,hypernym,aristocrat noun
reclamation noun,derivationally related form,rehabilitate verb
medical adjective,derivationally related form,medicine noun
nutriment noun,derivationally related form,nutritional adjective
stooper noun,hypernym,person noun
clarinetist noun,hypernym,musician noun
adduction noun,hypernym,motion noun
traffic noun,derivationally related form,traffic verb
symbolist noun,derivationally related form,typify verb
el nino noun,synset domain topic of,spanish noun
joining noun,hypernym,change of integrity noun
falsifier noun,hypernym,deceiver noun
influence noun,derivationally related form,charm verb
himalayas noun,has part,makalu noun
oral noun,hypernym,examination noun
stare noun,derivationally related form,gaze verb
tree heath noun,hypernym,erica noun
ebenaceae noun,hypernym,dicot family noun
test fly verb,synset domain topic of,air travel noun
malaxis noun,member meronym,green adder's mouth noun
terrorization noun,derivationally related form,terrorize verb
symmetry noun,hypernym,spatial property noun
artiodactyl adjective,synset domain topic of,zoology noun
promoter noun,derivationally related form,promote verb
florida noun,has part,everglades noun
reach verb,hypernym,be verb
cloudiness noun,hypernym,bad weather noun
put verb,also see,postpone verb
turn verb,verb group,change state verb
object noun,hypernym,content noun
squelch verb,hypernym,sound verb
greenness noun,derivationally related form,green adjective
provident adjective,also see,farsighted adjective
compositae noun,member meronym,chrysothamnus noun
prediction noun,derivationally related form,forecast verb
tiliaceae noun,member meronym,corchorus noun
coquilla nut noun,hypernym,seed noun
rule noun,hypernym,concept noun
caryophyllales noun,member meronym,phytolaccaceae noun
half-term noun,hypernym,vacation noun
style verb,derivationally related form,hairdresser noun
proposal noun,derivationally related form,propose verb
nebraska noun,instance hypernym,american state noun
vertebrate noun,has part,tail noun
lexicographer noun,derivationally related form,lexicology noun
arthropoda noun,member meronym,diplopoda noun
piece noun,derivationally related form,nibble verb
debit verb,hypernym,account verb
slang noun,member of domain usage,dekko noun
black september movement noun,instance hypernym,terrorist organization noun
tailor noun,derivationally related form,cut verb
pandiculation noun,hypernym,stretch noun
gravitate verb,hypernym,move verb
train verb,hypernym,teach verb
relish noun,hypernym,taste noun
arab league noun,member meronym,tunisia noun
asian noun,hypernym,inhabitant noun
retail verb,synset domain topic of,commerce noun
lying noun,hypernym,falsification noun
uruguay potato noun,hypernym,potato noun
supervision noun,derivationally related form,oversee verb
occupy verb,derivationally related form,residency noun
offensiveness noun,derivationally related form,dysphemistic adjective
trade name noun,member of domain usage,cerivastatin noun
gobio noun,hypernym,fish genus noun
protective fold noun,hypernym,flap noun
deliver verb,derivationally related form,delivery noun
drive noun,hypernym,trait noun
intimidate verb,derivationally related form,bullying noun
dresser noun,derivationally related form,dress verb
townsman noun,hypernym,resident noun
cicatrize verb,hypernym,scar verb
rivina noun,member meronym,bloodberry noun
viburnum noun,member meronym,cranberry bush noun
archaism noun,member of domain usage,horary adjective
drumstick noun,hypernym,helping noun
range verb,derivationally related form,image noun
brazil noun,has part,curitiba noun
apposition noun,synset domain topic of,biology noun
muskhogean noun,hypernym,indian noun
redemption noun,derivationally related form,deliver verb
tense verb,hypernym,affect verb
bambuseae noun,hypernym,tribe noun
sequester verb,hypernym,take verb
admonition noun,hypernym,rebuke noun
kyoto noun,instance hypernym,city noun
computer network noun,hypernym,network noun
eriophorum noun,member meronym,cotton grass noun
rodentia noun,member meronym,myomorpha noun
crinkleroot noun,hypernym,bittercress noun
elapidae noun,member meronym,ophiophagus noun
magna carta noun,instance hypernym,royal charter noun
traditionalist noun,derivationally related form,traditionalism noun
mutation noun,synset domain topic of,genetics noun
perfumery noun,derivationally related form,perfume verb
martial law noun,hypernym,law noun
verbascum noun,hypernym,asterid dicot genus noun
sampling noun,synset domain topic of,telecommunication noun
interoperability noun,derivationally related form,interoperable satellite adjective
thriftlessness noun,hypernym,improvidence noun
pile noun,hypernym,column noun
hoax verb,derivationally related form,prankster noun
elateridae noun,hypernym,arthropod family noun
zionist noun,hypernym,jew noun
privilege noun,synset domain topic of,law noun
interrogation noun,derivationally related form,examine verb
united kingdom noun,member of domain region,nearside noun
liliaceae noun,member meronym,allium noun
store verb,hypernym,keep verb
servitor noun,derivationally related form,serve verb
smell noun,hypernym,exteroception noun
labiatae noun,member meronym,trichostema noun
dry dock noun,hypernym,dock noun
plagiarist noun,derivationally related form,plagiarism noun
sewer noun,hypernym,drain noun
scientific theory noun,hypernym,theory noun
dissolve verb,derivationally related form,solvent noun
oberson noun,hypernym,fairy noun
evidence noun,derivationally related form,tell verb
korean war noun,instance hypernym,war noun
prophets noun,has part,habakkuk noun
acquire verb,hypernym,get verb
faggot verb,hypernym,tie down verb
compression noun,hypernym,encoding noun
he noun,hypernym,letter noun
troy pound noun,hypernym,troy unit noun
miro noun,hypernym,conifer noun
virginia noun,has part,james noun
forester noun,hypernym,farmer noun
chew over verb,derivationally related form,contemplation noun
genus origanum noun,member meronym,dittany of crete noun
lunge verb,derivationally related form,hurl noun
swimmer noun,derivationally related form,swim verb
impairment noun,derivationally related form,mar verb
alectura noun,member meronym,brush turkey noun
anemone fish noun,hypernym,damselfish noun
tibet noun,has part,lhotse noun
lead verb,derivationally related form,best noun
declare verb,derivationally related form,declarative adjective
replacement noun,hypernym,substitution noun
abate verb,derivationally related form,suspension noun
walk over verb,hypernym,beat verb
extend verb,verb group,widen verb
summer squash noun,has part,summer squash noun
flier noun,hypernym,traveler noun
inflict verb,derivationally related form,trial noun
sprog noun,hypernym,child noun
grouping noun,hypernym,classification system noun
hypoxia noun,hypernym,drive noun
bugle noun,hypernym,herb noun
drag noun,hypernym,hindrance noun
alaudidae noun,member meronym,lark noun
family noun,hypernym,kin noun
biotechnology noun,hypernym,molecular biology noun
dinosaur noun,hypernym,archosaur noun
horse-drawn vehicle noun,hypernym,wheeled vehicle noun
amphibia noun,member meronym,salientia noun
acre noun,instance hypernym,district noun
hose noun,hypernym,tube noun
iguanidae noun,member meronym,iguanid noun
spain noun,has part,oviedo noun
pilot noun,synset domain topic of,aircraft noun
confirmation noun,derivationally related form,confirm verb
senecio noun,hypernym,asterid dicot genus noun
columnist noun,hypernym,journalist noun
alendronate noun,hypernym,medicine noun
ozawa noun,instance hypernym,conductor noun
interpenetration noun,derivationally related form,permeate verb
lysiloma noun,hypernym,rosid dicot genus noun
nirvana noun,synset domain topic of,buddhism noun
caddis fly noun,hypernym,trichopterous insect noun
santalum noun,member meronym,sandalwood tree noun
offer verb,derivationally related form,suggestion noun
